"No.","Time","Source","Destination","Protocol","Length","Info"
"38","2.097066","host","1.2.2","USB","73","URB_BULK out"
"40","3.137729","1.2.2","host","USB","91","URB_BULK in"
"42","3.138617","host","1.2.2","USB","87","URB_BULK out"
"54","4.196766","1.2.2","host","USB","96","URB_BULK in"
"56","4.229892","1.2.2","host","USB","96","URB_BULK in"
"58","4.238072","1.2.2","host","USB","70","URB_BULK in"
"60","4.238376","host","1.2.2","USB","87","URB_BULK out"
"62","5.297209","1.2.2","host","USB","95","URB_BULK in"
"64","5.298640","host","1.2.2","USB","75","URB_BULK out"
"76","6.345024","1.2.2","host","USB","96","URB_BULK in"
"78","6.378275","1.2.2","host","USB","96","URB_BULK in"
"80","6.383181","1.2.2","host","USB","67","URB_BULK in"
"82","6.383435","host","1.2.2","USB","79","URB_BULK out"
"84","7.422125","1.2.2","host","USB","84","URB_BULK in"
"86","7.423271","host","1.2.2","USB","80","URB_BULK out"
"98","8.474462","1.2.2","host","USB","96","URB_BULK in"
"100","8.507751","1.2.2","host","USB","96","URB_BULK in"
"102","8.509024","host","1.2.2","USB","67","URB_BULK out"
"104","9.546088","1.2.2","host","USB","94","URB_BULK in"
"116","11.048317","host","1.2.2","USB","68","URB_BULK out"
"118","12.085451","1.2.2","host","USB","94","URB_BULK in"
"130","13.588306","host","1.2.2","USB","80","URB_BULK out"
"142","14.638757","1.2.2","host","USB","96","URB_BULK in"
"144","14.670816","1.2.2","host","USB","93","URB_BULK in"
"146","14.672185","host","1.2.2","USB","96","URB_BULK out"
"147","14.672216","host","1.2.2","USB","65","URB_BULK out"
"150","15.730495","1.2.2","host","USB","84","URB_BULK in"
"152","15.731425","host","1.2.2","USB","70","URB_BULK out"
"164","16.770427","1.2.2","host","USB","94","URB_BULK in"
"166","18.273395","host","1.2.2","USB","78","URB_BULK out"
"178","19.322078","1.2.2","host","USB","96","URB_BULK in"
"180","19.354155","1.2.2","host","USB","93","URB_BULK in"
"182","19.354454","host","1.2.2","USB","87","URB_BULK out"
"184","20.413304","1.2.2","host","USB","94","URB_BULK in"
"196","21.915425","host","1.2.2","USB","84","URB_BULK out"
"208","22.968960","1.2.2","host","USB","92","URB_BULK in"
"210","22.970340","host","1.2.2","USB","72","URB_BULK out"
"212","23.998153","1.2.2","host","USB","79","URB_BULK in"
"214","23.998564","host","1.2.2","USB","77","URB_BULK out"
"226","25.045848","1.2.2","host","USB","96","URB_BULK in"
"228","25.077835","1.2.2","host","USB","93","URB_BULK in"
"230","25.078799","host","1.2.2","USB","78","URB_BULK out"
"232","26.128540","1.2.2","host","USB","96","URB_BULK in"
"234","26.161575","1.2.2","host","USB","96","URB_BULK in"
"236","26.178223","1.2.2","host","USB","78","URB_BULK in"
"238","26.179048","host","1.2.2","USB","72","URB_BULK out"
"250","27.221630","1.2.2","host","USB","96","URB_BULK in"
"252","27.254744","1.2.2","host","USB","96","URB_BULK in"
"254","27.271039","1.2.2","host","USB","78","URB_BULK in"
"256","27.271396","host","1.2.2","USB","76","URB_BULK out"
"258","28.318214","1.2.2","host","USB","94","URB_BULK in"
"270","29.820254","host","1.2.2","USB","96","URB_BULK out"
"271","29.820290","host","1.2.2","USB","65","URB_BULK out"
"284","30.888267","1.2.2","host","USB","94","URB_BULK in"
"286","32.389908","host","1.2.2","USB","72","URB_BULK out"
"298","33.433167","1.2.2","host","USB","96","URB_BULK in"
"300","33.465055","1.2.2","host","USB","93","URB_BULK in"
"302","33.466303","host","1.2.2","USB","80","URB_BULK out"
"304","34.516021","1.2.2","host","USB","94","URB_BULK in"
"316","36.018862","host","1.2.2","USB","84","URB_BULK out"
"328","37.075068","1.2.2","host","USB","95","URB_BULK in"
"330","37.076500","host","1.2.2","USB","80","URB_BULK out"
"332","38.117676","1.2.2","host","USB","84","URB_BULK in"
"334","38.118602","host","1.2.2","USB","76","URB_BULK out"
"346","39.164557","1.2.2","host","USB","94","URB_BULK in"
"348","40.667307","host","1.2.2","USB","96","URB_BULK out"
"349","40.667333","host","1.2.2","USB","96","URB_BULK out"
"351","40.667395","host","1.2.2","USB","81","URB_BULK out"
"364","41.786472","1.2.2","host","USB","95","URB_BULK in"
"366","41.787722","host","1.2.2","USB","92","URB_BULK out"
"368","42.841599","1.2.2","host","USB","84","URB_BULK in"
"370","42.842442","host","1.2.2","USB","77","URB_BULK out"
"382","43.890733","1.2.2","host","USB","96","URB_BULK in"
"384","43.922769","1.2.2","host","USB","93","URB_BULK in"
"386","43.923140","host","1.2.2","USB","66","URB_BULK out"
"388","44.958649","1.2.2","host","USB","94","URB_BULK in"
"412","47.517221","1.2.2","host","USB","95","URB_BULK in"
"416","48.573314","1.2.2","host","USB","95","URB_BULK in"
"418","48.574552","host","1.2.2","USB","81","URB_BULK out"
"430","49.625104","1.2.2","host","USB","92","URB_BULK in"
"432","49.626812","host","1.2.2","USB","77","URB_BULK out"
"434","50.674014","1.2.2","host","USB","96","URB_BULK in"
"436","50.706185","1.2.2","host","USB","93","URB_BULK in"
"438","50.707306","host","1.2.2","USB","77","URB_BULK out"
"450","51.755396","1.2.2","host","USB","96","URB_BULK in"
"452","51.788655","1.2.2","host","USB","96","URB_BULK in"
"454","51.805194","1.2.2","host","USB","78","URB_BULK in"
"458","52.859098","1.2.2","host","USB","94","URB_BULK in"
"470","54.362180","host","1.2.2","USB","68","URB_BULK out"
"482","55.401450","1.2.2","host","USB","96","URB_BULK in"
"484","55.426078","1.2.2","host","USB","86","URB_BULK in"
"486","55.426530","host","1.2.2","USB","96","URB_BULK out"
"487","55.426547","host","1.2.2","USB","65","URB_BULK out"
"490","56.496030","1.2.2","host","USB","94","URB_BULK in"
"502","57.998765","host","1.2.2","USB","73","URB_BULK out"
"504","59.030196","1.2.2","host","USB","83","URB_BULK in"
