"No.","Time","Source","Destination","Protocol","Length","Info"
"78","11.574628","host","1.2.2","USB","73","URB_BULK out"
"90","12.616080","1.2.2","host","USB","91","URB_BULK in"
"92","12.616984","host","1.2.2","USB","66","URB_BULK out"
"94","13.653614","1.2.2","host","USB","96","URB_BULK in"
"96","13.686835","1.2.2","host","USB","96","URB_BULK in"
"98","13.711701","1.2.2","host","USB","86","URB_BULK in"
"100","13.714979","host","1.2.2","USB","67","URB_BULK out"
"112","14.751760","1.2.2","host","USB","94","URB_BULK in"
"114","14.753500","host","1.2.2","USB","68","URB_BULK out"
"116","15.791653","1.2.2","host","USB","96","URB_BULK in"
"118","15.816276","1.2.2","host","USB","86","URB_BULK in"
"120","15.817120","host","1.2.2","USB","72","URB_BULK out"
"132","16.843890","1.2.2","host","USB","79","URB_BULK in"
"134","16.845008","host","1.2.2","USB","70","URB_BULK out"
"136","17.884509","1.2.2","host","USB","94","URB_BULK in"
"148","19.387065","host","1.2.2","USB","68","URB_BULK out"
"150","20.425223","1.2.2","host","USB","94","URB_BULK in"
"162","21.927264","host","1.2.2","USB","76","URB_BULK out"
"174","22.974025","1.2.2","host","USB","94","URB_BULK in"
"176","24.477085","host","1.2.2","USB","84","URB_BULK out"
"188","25.531862","1.2.2","host","USB","94","URB_BULK in"
"200","27.034510","host","1.2.2","USB","72","URB_BULK out"
"202","28.076746","1.2.2","host","USB","96","URB_BULK in"
"204","28.110087","1.2.2","host","USB","96","URB_BULK in"
"206","28.126666","1.2.2","host","USB","78","URB_BULK in"
"208","28.127480","host","1.2.2","USB","84","URB_BULK out"
"220","29.183760","1.2.2","host","USB","96","URB_BULK in"
"222","29.199054","1.2.2","host","USB","77","URB_BULK in"
"224","29.199769","host","1.2.2","USB","78","URB_BULK out"
"226","30.249433","1.2.2","host","USB","96","URB_BULK in"
"228","30.264718","1.2.2","host","USB","77","URB_BULK in"
"230","30.265319","host","1.2.2","USB","81","URB_BULK out"
"242","31.316941","1.2.2","host","USB","96","URB_BULK in"
"244","31.332549","1.2.2","host","USB","77","URB_BULK in"
"246","31.333563","host","1.2.2","USB","77","URB_BULK out"
"248","32.381685","1.2.2","host","USB","96","URB_BULK in"
"250","32.397136","1.2.2","host","USB","77","URB_BULK in"
"252","32.397773","host","1.2.2","USB","80","URB_BULK out"
"264","33.448856","1.2.2","host","USB","94","URB_BULK in"
"278","36.005466","1.2.2","host","USB","95","URB_BULK in"
"280","36.006553","host","1.2.2","USB","87","URB_BULK out"
"292","37.064905","1.2.2","host","USB","94","URB_BULK in"
"294","38.568154","host","1.2.2","USB","79","URB_BULK out"
"306","39.607628","1.2.2","host","USB","84","URB_BULK in"
"308","39.609193","host","1.2.2","USB","75","URB_BULK out"
"310","40.654770","1.2.2","host","USB","94","URB_BULK in"
"334","43.211438","1.2.2","host","USB","94","URB_BULK in"
"336","44.714758","host","1.2.2","USB","76","URB_BULK out"
"348","45.761196","1.2.2","host","USB","94","URB_BULK in"
"360","47.263267","host","1.2.2","USB","92","URB_BULK out"
"362","48.317002","1.2.2","host","USB","84","URB_BULK in"
"364","48.317758","host","1.2.2","USB","96","URB_BULK out"
"365","48.317786","host","1.2.2","USB","65","URB_BULK out"
"378","49.377026","1.2.2","host","USB","84","URB_BULK in"
"380","49.377504","host","1.2.2","USB","96","URB_BULK out"
"381","49.377527","host","1.2.2","USB","65","URB_BULK out"
"384","50.447104","1.2.2","host","USB","95","URB_BULK in"
"386","50.448172","host","1.2.2","USB","96","URB_BULK out"
"387","50.448197","host","1.2.2","USB","65","URB_BULK out"
"400","51.518352","1.2.2","host","USB","95","URB_BULK in"
"402","51.519510","host","1.2.2","USB","96","URB_BULK out"
"403","51.519536","host","1.2.2","USB","96","URB_BULK out"
"405","51.519621","host","1.2.2","USB","81","URB_BULK out"
"408","52.639488","1.2.2","host","USB","95","URB_BULK in"
"410","52.640677","host","1.2.2","USB","80","URB_BULK out"
"422","53.682254","1.2.2","host","USB","84","URB_BULK in"
"424","53.683384","host","1.2.2","USB","87","URB_BULK out"
"426","54.742043","1.2.2","host","USB","95","URB_BULK in"
"428","54.743231","host","1.2.2","USB","72","URB_BULK out"
"440","55.785745","1.2.2","host","USB","96","URB_BULK in"
"442","55.817831","1.2.2","host","USB","93","URB_BULK in"
"444","55.818933","host","1.2.2","USB","77","URB_BULK out"
"446","56.867036","1.2.2","host","USB","96","URB_BULK in"
"448","56.899394","1.2.2","host","USB","93","URB_BULK in"
"450","56.900366","host","1.2.2","USB","77","URB_BULK out"
